Important Helper,Shift logic,Sell-in price,Category,PCT,BG,PDT,Customer ID,Customer,Anker SKU,202534,202535,202536,202537,202538,202539,202540,202541,202542,202543,202544,202545,202546,202547,202548,202549,202550,202551,202552
52749A1667H21,1,24.31,Charging,US_CH,Mobile Charging IPMT,Battery,52749,Apple Korea,A1667H21,$0.00,$0.00,"$1,677.19","$1,677.19","$1,677.19","$1,604.27","$1,531.35","$1,458.43","$1,312.59","$1,968.88","$2,012.63","$1,312.59","$1,750.11","$1,750.11","$1,750.11","$2,012.63","$2,012.63","$1,895.96","$1,823.04"
52749A1667H31,1,24.31,Charging,US_CH,Mobile Charging IPMT,Battery,52749,Apple Korea,A1667H31,$0.00,$0.00,$838.60,$838.60,$838.60,$802.14,$765.68,$729.21,$656.29,$984.44,"$1,006.32",$656.29,$875.06,$875.06,$875.06,"$1,006.32","$1,006.32",$947.98,$911.52
52749Y1812Q21,1,45.62,Charging,US_CH,Mobile Charging IPMT,Wireless,52749,Apple Korea,Y1812Q21,$0.00,$0.00,$262.33,$262.33,$262.33,$250.92,$239.52,$228.11,$205.30,$307.95,$314.80,$205.30,$273.74,$273.74,$273.74,$314.80,$314.80,$296.55,$285.14
52749Y1812QA1,1,45.62,Charging,US_CH,Mobile Charging IPMT,Wireless,52749,Apple Korea,Y1812QA1,$0.00,$0.00,$367.26,$367.26,$367.26,$351.29,$335.33,$319.36,$287.42,$431.13,$440.71,$287.42,$383.23,$383.23,$383.23,$440.71,$440.71,$415.17,$399.20
52749A1667H91,1,24.31,Charging,US_CH,Mobile Charging IPMT,Battery,52749,Apple Korea,A1667H91,$0.00,$0.00,$419.30,$419.30,$419.30,$401.07,$382.84,$364.61,$328.15,$492.22,$503.16,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
52109A2698J21-1,2,4.8,Charging,US_CH,Mobile Charging IPMT,Charger,52109,AT&T,A2698J21-1,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$96,000.00",$0.00,$0.00,$0.00,"$32,649.60","$33,297.60","$36,768.00","$30,542.40","$11,716.80","$10,771.20","$17,726.40"
52109A1681H11-1,2,27.5,Charging,US_CH,Mobile Charging IPMT,Battery,52109,AT&T,A1681H11-1,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$137,500.00",$0.00,"$20,377.50","$18,700.00","$19,085.00","$21,065.00","$17,490.00","$6,710.00","$6,160.00"
52109A1638H11-1,2,30,Charging,US_CH,Mobile Charging IPMT,Battery,52109,AT&T,A1638H11-1,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$150,000.00",$0.00,$0.00,$0.00,"$22,230.00","$20,400.00","$20,820.00","$22,980.00","$19,080.00","$7,320.00","$6,720.00"
52109A1665HB1,2,27.5,Charging,US_CH,Mobile Charging IPMT,Battery,52109,AT&T,A1665HB1,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
532B2322J21-1,2,20.37,Charging,US_CH,Mobile Charging IPMT,Charger,532,BBY,B2322J21-1,$0.00,$0.00,$0.00,"$30,555.00","$91,665.00","$26,702.06","$25,953.62","$26,226.38","$26,016.56","$28,953.92","$27,296.41","$81,480.00","$81,480.00","$28,072.71","$30,590.44","$85,554.00","$97,776.00","$27,170.52","$25,282.23"
532A1695H11,2,58.2,Charging,US_CH,Mobile Charging IPMT,Essential,532,BBY,A1695H11,$0.00,$0.00,$0.00,"$35,248.25","$32,250.95","$32,730.52","$32,131.06","$41,362.74","$51,014.05","$35,907.65","$33,869.49","$55,270.21","$55,689.83","$44,240.15","$54,730.70","$123,368.87","$87,641.05","$24,098.29","$22,419.80"
532A1340011,2,103.31,Charging,US_CH,Mobile Charging IPMT,Battery,532,BBY,A1340011,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
532A1289011,2,62.51,Charging,US_CH,Mobile Charging IPMT,Battery,532,BBY,A1289011,$0.00,$0.00,$0.00,"$13,907.22","$12,233.21","$11,203.04","$9,979.72","$8,627.63","$8,048.16","$7,726.24","$9,915.34","$13,778.45","$15,323.70","$9,722.18","$10,172.88","$17,641.57","$13,070.22","$5,601.52","$7,146.77"
532A2697J41,2,36.86,Charging,US_CH,Mobile Charging IPMT,Charger,532,BBY,A2697J41,$0.00,$0.00,$0.00,"$15,376.15","$15,603.94","$16,553.09","$16,932.75","$23,804.56","$23,614.73","$18,906.97","$17,805.96","$26,576.06","$28,967.91","$18,299.52","$19,970.01","$32,650.59","$30,372.64","$14,958.53","$13,933.45"
532A1367H11-1,2,26.95,Charging,US_CH,Mobile Charging IPMT,Essential,532,BBY,A1367H11-1,$0.00,$0.00,$0.00,"$30,617.63","$27,980.57",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
532A2688J41-1,2,33.95,Charging,US_CH,Mobile Charging IPMT,Charger,532,BBY,A2688J41-1,$0.00,$0.00,$0.00,"$12,629.40",$0.00,$0.00,$0.00,$0.00,"$26,226.38","$29,198.70","$15,421.11","$16,540.10","$18,043.75","$28,324.49","$30,842.22","$20,351.67","$26,296.31","$11,819.35","$10,980.11"
532A1248H11-1,2,20.77,Charging,US_CH,Mobile Charging IPMT,Essential,532,BBY,A1248H11-1,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
532B25M4J21,2,51.15,Charging,US_CH,Mobile Charging IPMT,Wireless,532,BBY,B25M4J21,$0.00,$0.00,$0.00,$842.95,$684.90,$579.53,$526.85,$632.21,$632.21,$842.95,"$1,159.06","$1,843.96","$1,264.43",$948.32,"$1,264.43","$2,739.59","$1,369.80",$526.85,$474.16
532B25M4J11,2,51.15,Charging,US_CH,Mobile Charging IPMT,Wireless,532,BBY,B25M4J11,$0.00,$0.00,$0.00,"$11,011.06","$8,798.31","$7,270.46","$7,112.41","$8,218.78","$8,376.84","$11,011.06","$15,331.19","$23,918.76","$16,648.30","$12,275.49","$16,332.20","$35,351.30","$17,491.25","$7,059.72","$6,111.40"
